data;tmin;tmax;tmed
20/10/2000;27;15.4;21.1
21/10/2000;28.2;13;19
22/10/2000;30.2;13.6;20.3
23/10/2000;29;12;20
24/10/2000;24.6;16.8;19.3
25/10/2000;21.6;17.2;19.6
26/10/2000;22.6;17.2;19.8
27/10/2000;23.4;16;19
28/10/2000;22.6;9.2;14.2
29/10/2000;22;10.2;15.4
30/10/2000;25;11.4;17
31/10/2000;26.8;12;19.2
01/11/2000;27.6;13.4;20.3
02/11/2000;18;15.4;16.5
03/11/2000;25;14.8;19.4
04/11/2000;26.6;14;19.1
05/11/2000;25.2;14;18.6
06/11/2000;26.8;15.6;19.9
07/11/2000;25;16.6;18.4
08/11/2000;24.2;14.2;17.9
09/11/2000;24.8;15.4;18.8
10/11/2000;26.6;14.6;19
11/11/2000;22.4;15.6;18.6
12/11/2000;23.4;16.6;18.7
13/11/2000;24.8;15;19.6
14/11/2000;25.2;14.4;18.4
15/11/2000;21.8;9;13.9
16/11/2000;24.4;8.4;16.7
17/11/2000;24.6;13.4;16.7
18/11/2000;22.8;12.4;15.9
19/11/2000;28;10.4;19.1
20/11/2000;28.6;13;19
21/11/2000;20.8;15;16.7
22/11/2000;27.2;10;18.5
23/11/2000;29.6;15;22
24/11/2000;26.2;16.6;19.6
25/11/2000;24;14.4;19.3
26/11/2000;24.6;12.6;17.6
27/11/2000;29.2;14.4;21.4
28/11/2000;31.2;15;22.2
29/11/2000;24.8;14.6;19.6
30/11/2000;19;15;16.5
01/12/2000;21;11.8;16
02/12/2000;24.8;13;17.8
03/12/2000;26.6;14.4;19.1
04/12/2000;22.2;15.2;18.6
05/12/2000;24.2;14;18.6
06/12/2000;25.6;11.4;17.4
07/12/2000;29.2;9.8;19.3
08/12/2000;31.6;12;21.2
09/12/2000;29;13.6;23.5
10/12/2000;31.6;14;20.8
11/12/2000;28;14.4;20
12/12/2000;26;16.6;21.2
13/12/2000;26;18;21.7
14/12/2000;27;18.6;21.4
15/12/2000;27.4;18;21.1
16/12/2000;23;11.8;16.4
17/12/2000;22.2;8.6;14.9
18/12/2000;25;12;16.8
19/12/2000;28;9.6;19.2
20/12/2000;29;12.6;21.2
21/12/2000;28.8;16.4;21.5
22/12/2000;27;16;20.3
23/12/2000;27;11.4;19
24/12/2000;21.8;17.2;19.9
25/12/2000;29.6;18.2;22.6
26/12/2000;32;16.6;24
27/12/2000;29.4;18.4;22.4
28/12/2000;26.6;18.2;21.6
29/12/2000;26.2;17;21.3
30/12/2000;25.2;17;19.6
31/12/2000;26.2;11.8;19.1
01/01/2001;26.2;15.2;20.8
02/01/2001;27.4;16.8;20.7
03/01/2001;29.6;17;22.9
04/01/2001;30.2;15.8;22.6
05/01/2001;29.6;17.6;21.8
06/01/2001;26.8;14.8;20.6
07/01/2001;26.4;19.2;21.1
08/01/2001;29.7;16.6;22.2
09/01/2001;28;17.8;21.9
10/01/2001;27.6;18.4;22.7
11/01/2001;24;15.2;17.9
12/01/2001;17.6;15.2;16.4
13/01/2001;25;15.2;19.8
14/01/2001;26.6;18.4;21.4
15/01/2001;26;17;20.8
16/01/2001;26.5;16.8;20.1
17/01/2001;28.6;18.5;21.8
18/01/2001;31.4;17;22.1
19/01/2001;29;16.8;21.6
20/01/2001;26;16.2;19.6
21/01/2001;21.6;15.4;18.3
22/01/2001;26;15.2;19.5
23/01/2001;25;17.4;20.5
24/01/2001;26.4;17.6;21.6
25/01/2001;27.6;18.4;22.3
26/01/2001;31.2;16.6;23
27/01/2001;28.6;17.6;21.7
28/01/2001;29.6;15.6;22.4
29/01/2001;26;17;20.8
30/01/2001;26.5;15.4;20.5
31/01/2001;23.8;18;20.1
01/02/2001;28;16.6;22
02/02/2001;26.6;17.4;21.1
03/02/2001;25;18.2;21.3
04/02/2001;27.6;18.6;21.7
05/02/2001;27;18;21.6
24/10/2001;25.5;5.4;16.2
25/10/2001;26.6;13.4;19
26/10/2001;28;12.6;19.5
27/10/2001;29;14.2;20.5
28/10/2001;29.5;13.4;21.3
29/10/2001;30;12.8;20.9
30/10/2001;25.6;17.4;21.6
31/10/2001;26.5;16;19.3
01/11/2001;26.6;9.8;18.5
02/11/2001;26.8;13.4;18.2
03/11/2001;24;12.4;16.9
04/11/2001;22;12.2;16.4
05/11/2001;27.5;10.4;18.4
06/11/2001;29.5;12.6;20.8
07/11/2001;26.6;14;19.6
08/11/2001;26.6;15;20.9
09/11/2001;23;16.6;19.2
10/11/2001;23.2;16.6;19.7
11/11/2001;23.2;16;18.7
12/11/2001;27.6;14.8;20
13/11/2001;26.5;11.4;19.3
14/11/2001;25;14.6;19.1
15/11/2001;24.6;16.2;19.4
16/11/2001;24.6;16.8;19.2
17/11/2001;21.8;13;16.9
18/11/2001;26.6;12.8;19.8
19/11/2001;28;15.2;21.4
20/11/2001;27.6;16;21.5
21/11/2001;29;18.2;21.9
22/11/2001;29;17.4;22.2
23/11/2001;32;15;23.4
24/11/2001;32.2;16.2;23.9
25/11/2001;25;19;21
26/11/2001;27.6;18.2;22.3
27/11/2001;26.5;17.4;21
28/11/2001;23;17;19.4
29/11/2001;24;16.6;18.8
30/11/2001;20;15;16.6
01/12/2001;17;9.8;13.2
02/12/2001;24.6;9.8;16.5
03/12/2001;25.6;12.4;19.2
04/12/2001;19.5;14;16.1
05/12/2001;18;15;15.7
06/12/2001;25.4;13.4;19.1
07/12/2001;27.6;11.6;19.9
08/12/2001;29.6;13.2;21.5
09/12/2001;28.5;14.5;21
10/12/2001;28;16.5;20.6
11/12/2001;28;16;20
12/12/2001;26;16;20.3
13/12/2001;26.4;16.5;20
14/12/2001;26.8;12.8;20.1
15/12/2001;22.8;17.4;19.3
16/12/2001;24.2;16.2;18.6
17/12/2001;26.2;10.4;17.8
18/12/2001;27.2;10;18.9
19/12/2001;30;11.8;20.8
20/12/2001;31.5;13.2;23.4
21/12/2001;31;18.8;22.8
22/12/2001;23.5;17.6;19.6
23/12/2001;22.2;14.8;17.6
24/12/2001;23.6;11.5;16.8
25/12/2001;23.4;11;17.2
26/12/2001;24;13.6;18.4
27/12/2001;27;13.5;20.3
28/12/2001;26.4;17;20.7
29/12/2001;28.6;15.6;21.9
30/12/2001;29.6;15;22.4
